"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","se_method","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","q_value_core_bh","manuscript_role"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmax",-0.00739560165543347,0.00748992449751425,-0.987406703216824,0.323443299548633,0.992631678513974,0.978166034752909,1.00731124797067,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.00739560165543347,0.00709062225390991,-1.04301165547994,0.296942894619366,0.992631678513974,0.978931878829908,1.00652320196906,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","model","mean_tmax",-0.00818441287146378,0.00749453904375587,-1.0920502013106,0.274811036229746,0.991848988250589,0.977385910635084,1.00652608635875,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.00818441287146378,0.00760210784407866,-1.07659783830069,0.281659970390544,0.991848988250589,0.977179865346087,1.0067383195061,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmax",-0.00818441287146378,0.00676633216389799,-1.20957893777843,0.226440504174918,0.991848988250589,0.978781915369768,1.00509051101753,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.00818441287146378,0.00633776005107832,-1.29137310429909,0.196574332249436,0.991848988250589,0.97960443890342,1.00424658813812,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","model","mean_tmax",-0.00747957334666093,0.00728026447881748,-1.02737659715844,0.30424316698893,0.99254832905271,0.978485910113259,1.00681284760789,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.00747957334666093,0.00866384571676415,-0.863308695835648,0.387967764368557,0.99254832905271,0.97583602783426,1.00954684742655,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmax",-0.00747957334666093,0.0076089328127824,-0.982999000082619,0.325607930783561,0.99254832905271,0.977855782321625,1.00746163525912,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.00747957334666093,0.00725862056684912,-1.03044005094039,0.302803480365872,0.99254832905271,0.978527420389014,1.00677013743128,,"sensitivity"
