"outcome","pathway_id","exposure","model_structure","exposure_rhs","offset_type","offset_label","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","n_months","data_status","family","se_method","aic"
"chd","P02A","mean_tmax","single_exposure","mean_tmax","no_offset","no_offset_counts","mean_tmax",-0.00747957334666093,0.00725862056684912,-1.03044005094039,0.302803480365872,0.99254832905271,0.978527420389014,1.00677013743128,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1617.49615860985
"chd","P02A","mean_tmax","single_exposure","mean_tmax","pop_x_days","population_x_days","mean_tmax",-0.00739560165543347,0.00709062225390991,-1.04301165547994,0.296942894619366,0.992631678513974,0.978931878829908,1.00652320196906,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1620.84342558532
"chd","P02B","mean_tmin","single_exposure","mean_tmin","days_only","days_only","mean_tmin",-0.0058463754564676,0.00885340135324042,-0.660353600068947,0.509026940897322,0.994170681340187,0.977067986744829,1.01157274319186,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1619.97134224328
"chd","P02B","mean_tmin","single_exposure","mean_tmin","no_offset","no_offset_counts","mean_tmin",-0.00639731635177424,0.00897706362853171,-0.712629052939061,0.476075328912186,0.993623102910448,0.976293167570745,1.01126065758915,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1617.88623541955
"chd","P02B","mean_tmin","single_exposure","mean_tmin","pop_x_days","population_x_days","mean_tmin",-0.00637016655300801,0.00883102242637842,-0.721339641713536,0.470700572684146,0.993650079943951,0.976599176576021,1.01099868303622,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1621.20690728161
"chd","P04C","very_hot_days","single_exposure","I(very_hot_days/5)","days_only","days_only","I(very_hot_days/5)",-0.000610023805177367,0.0129450344950274,-0.0471241544710983,0.962414276235873,0.999390162221515,0.974352343856856,1.02507137447999,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1620.50724215584
"chd","P04C","very_hot_days","single_exposure","I(very_hot_days/5)","no_offset","no_offset_counts","I(very_hot_days/5)",-0.000622562786985004,0.012945494654676,-0.0480910775209452,0.961643657086328,0.999377630965017,0.974339247777595,1.02505944572319,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1618.53798233744
"chd","P04C","very_hot_days","single_exposure","I(very_hot_days/5)","pop_x_days","population_x_days","I(very_hot_days/5)",-0.000573818193115241,0.0129682107261793,-0.0442480620674105,0.964706671554917,0.999426346409059,0.974343360563558,1.02515505552255,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1621.83751147038
"hf","P04B","cold_days","single_exposure","I(cold_days/5)","days_only","days_only","I(cold_days/5)",0.0702721921354338,0.0325707214528985,2.15752642252817,0.0309646706542344,1.07280014928024,1.00645431800469,1.14351952165835,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1223.87473450293
"hf","P04B","cold_days","single_exposure","I(cold_days/5)","no_offset","no_offset_counts","I(cold_days/5)",0.0724291340841461,0.0329446697687216,2.19850842617679,0.0279128947578311,1.07511661426697,1.00788853314536,1.14682893619761,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1222.66803147355
