Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2019,Respirable Suspended Particulates,CAUSEWAY BAY,63,47,39,39,37,27,32,31,46,52,53,55
2019,Respirable Suspended Particulates,CENTRAL,58,36,34,30,29,21,26,26,37,44,51,45
2019,Respirable Suspended Particulates,MONG KOK,53,36,35,30,30,18,24,26,36,44,48,45
2020,Fine Suspended Particulates ,CAUSEWAY BAY,29,22,26,24,19,12,11,17,23,25,28,34
2020,Fine Suspended Particulates ,CENTRAL,23,18,21,18,13,7,6,11,15,19,23,29
2020,Fine Suspended Particulates ,MONG KOK,26,20,23,21,14,7,6,12,16,21,24,29
2020,Nitrogen Dioxide,CAUSEWAY BAY,75,66,66,72,66,48,48,56,75,77,84,83
2020,Nitrogen Dioxide,CENTRAL,78,68,70,75,66,46,46,57,77,67,83,84
2020,Nitrogen Dioxide,MONG KOK,76,68,93,102,79,58,55,63,80,68,75,69
2020,Ozone,CAUSEWAY BAY,32,34,35,44,23,16,14,19,27,46,39,27
2020,Ozone,CENTRAL,36,38,40,49,30,22,19,24,31,58,42,26
2020,Ozone,MONG KOK,31,30,24,34,24,11,11,19,31,57,52,35
2020,Respirable Suspended Particulates,CAUSEWAY BAY,45,37,42,39,30,20,19,26,34,43,48,55
2020,Respirable Suspended Particulates,CENTRAL,37,32,37,32,21,13,12,17,23,36,41,46
2020,Respirable Suspended Particulates,MONG KOK,38,31,38,34,21,12,11,17,23,36,40,44
2021,Fine Suspended Particulates ,CAUSEWAY BAY,35,27,28,23,17,17,17,17,21,21,27,31
2021,Fine Suspended Particulates ,CENTRAL,31,21,21,20,12,13,12,12,15,15,21,27
2021,Fine Suspended Particulates ,MONG KOK,31,23,25,22,12,12,11,11,14,15,20,25
2021,Nitrogen Dioxide,CAUSEWAY BAY,88,79,72,70,60,63,62,57,68,65,85,86
2021,Nitrogen Dioxide,CENTRAL,90,73,67,64,57,59,59,57,66,60,84,81
2021,Nitrogen Dioxide,MONG KOK,84,78,71,76,61,65,63,62,69,57,81,72
2021,Ozone,CAUSEWAY BAY,38,37,36,50,24,25,16,13,19,31,30,27
2021,Ozone,CENTRAL,37,41,40,54,23,23,18,14,25,38,37,34
2021,Ozone,MONG KOK,42,40,36,48,21,21,18,13,25,42,45,37
2021,Respirable Suspended Particulates,CAUSEWAY BAY,62,44,47,43,29,29,28,25,33,35,46,50
2021,Respirable Suspended Particulates,CENTRAL,53,35,36,36,20,20,18,17,22,25,36,43
2021,Respirable Suspended Particulates,MONG KOK,52,36,40,37,17,20,17,16,22,27,36,41
2022,Fine Suspended Particulates ,CAUSEWAY BAY,30,18,24,19,16,13,15,16,31,22,20,25
2022,Fine Suspended Particulates ,CENTRAL,27,15,20,18,13,9,12,12,26,18,16,21
2022,Fine Suspended Particulates ,MONG KOK,26,13,20,17,13,8,10,10,25,18,17,20
2022,Nitrogen Dioxide,CAUSEWAY BAY,71,61,62,59,58,47,52,59,99,72,56,79
2022,Nitrogen Dioxide,CENTRAL,69,59,63,56,55,44,48,57,91,68,56,74
2022,Nitrogen Dioxide,MONG KOK,70,56,64,62,61,49,55,61,98,62,62,62
2022,Ozone,CAUSEWAY BAY,33,28,37,38,36,14,24,21,49,45,37,22
2022,Ozone,CENTRAL,40,31,44,48,45,16,23,19,59,52,40,23
2022,Ozone,MONG KOK,30,30,38,40,23,9,14,18,53,67,42,40
2022,Respirable Suspended Particulates,CAUSEWAY BAY,46,28,38,35,27,22,26,27,49,40,31,41
2022,Respirable Suspended Particulates,CENTRAL,40,23,31,29,20,13,18,18,39,31,24,33
2022,Respirable Suspended Particulates,MONG KOK,39,20,30,28,20,14,17,17,39,31,24,31
