month_id,mean_temp,mean_tmax,mean_tmin,lag1_mean_temp,lag1_mean_tmax,lag1_mean_tmin,hot_nights,cold_days,very_hot_days,NO2,O3,PM25,flu_indicator,covid_phase
2014-08,29.0225806451613,31.9741935483871,26.7709677419355,29.7806451612903,32.5903225806452,27.6193548387097,6,0,6,38.1666666666667,25.0833333333333,12.3333333333333,0.03688,pre_covid
2014-09,28.9866666666667,31.9966666666667,27.0266666666667,29.0225806451613,31.9741935483871,26.7709677419355,4,0,7,46.5,44.3333333333333,23.5,0.018675,pre_covid
2014-10,26.2451612903226,28.9032258064516,24.3322580645161,28.9866666666667,31.9966666666667,27.0266666666667,0,0,0,50.1666666666667,84.6666666666667,39.1666666666667,0.006675,pre_covid
2014-11,22.6433333333333,24.56,21.17,26.2451612903226,28.9032258064516,24.3322580645161,0,0,0,49.5454545454545,52.1818181818182,33.8181818181818,0.00736,pre_covid
2014-12,16.3387096774194,18.4870967741935,14.1741935483871,22.6433333333333,24.56,21.17,0,6,0,56.1818181818182,46.0909090909091,39.8181818181818,0.077475,pre_covid
2015-01,16.4483870967742,18.9322580645161,14.5161290322581,16.3387096774194,18.4870967741935,14.1741935483871,0,4,0,62.3333333333333,52.25,43.5833333333333,0.3144,pre_covid
2015-02,17.475,19.5071428571429,15.9107142857143,16.4483870967742,18.9322580645161,14.5161290322581,0,1,0,55.6666666666667,50.6666666666667,46.4166666666667,0.2729,pre_covid
2015-03,19.8967741935484,21.9806451612903,18.4709677419355,17.475,19.5071428571429,15.9107142857143,0,0,0,48.5,42.1666666666667,28.3333333333333,0.1552,pre_covid
2015-04,23.6066666666667,26.69,21.39,19.8967741935484,21.9806451612903,18.4709677419355,0,0,0,49,43.5833333333333,22.5833333333333,0.0888,pre_covid
2015-05,27.4516129032258,29.8838709677419,25.5290322580645,23.6066666666667,26.69,21.39,2,0,0,39.4166666666667,30.75,12.5,0.09048,pre_covid
2015-06,29.6666666666667,32.3166666666667,27.6633333333333,27.4516129032258,29.8838709677419,25.5290322580645,13,0,10,30.6666666666667,25.4166666666667,9.16666666666667,0.23885,pre_covid
2015-07,29.141935483871,31.8258064516129,27.2290322580645,29.6666666666667,32.3166666666667,27.6633333333333,12,0,6,39.5,43,15.9166666666667,0.12865,pre_covid
2015-08,29.3,32.0967741935484,27.1677419354839,29.141935483871,31.8258064516129,27.2290322580645,8,0,12,49.75,37.5,21.5,0.04954,pre_covid
2015-09,28.4033333333333,31.0566666666667,26.6466666666667,29.3,32.0967741935484,27.1677419354839,2,0,0,41.3333333333333,59.1666666666667,22.4166666666667,0.017075,pre_covid
2015-10,26.0161290322581,28.5387096774194,24.2,28.4033333333333,31.0566666666667,26.6466666666667,0,0,0,48.6666666666667,64,29.4166666666667,0.008825,pre_covid
2015-11,24.0233333333333,26.0533333333333,22.4133333333333,26.0161290322581,28.5387096774194,24.2,0,0,0,41.5833333333333,53.6666666666667,23.5833333333333,0.00984,pre_covid
2015-12,18.5677419354839,20.2516129032258,17.0741935483871,24.0233333333333,26.0533333333333,22.4133333333333,0,2,0,50.5454545454545,30.3636363636364,27,0.018625,pre_covid
2016-01,16.0258064516129,17.8064516129032,14.4322580645161,18.5677419354839,20.2516129032258,17.0741935483871,0,7,0,49.1818181818182,33.9090909090909,25.7272727272727,0.08226,pre_covid
2016-02,15.4586206896552,18.2172413793103,13.351724137931,16.0258064516129,17.8064516129032,14.4322580645161,0,10,0,49.0909090909091,33.7272727272727,28.1818181818182,0.242725,pre_covid
2016-03,17.5161290322581,19.9903225806452,15.6516129032258,15.4586206896552,18.2172413793103,13.351724137931,0,3,0,52.9166666666667,43.8333333333333,28,0.196625,pre_covid
2016-04,23.5733333333333,26.01,21.8533333333333,17.5161290322581,19.9903225806452,15.6516129032258,0,0,0,47,39.1538461538462,21.0769230769231,0.154875,pre_covid
2016-05,26.7322580645161,29.1032258064516,24.9161290322581,23.5733333333333,26.01,21.8533333333333,2,0,0,36.3076923076923,51.0769230769231,17.5384615384615,0.07338,pre_covid
2016-06,29.37,32.3733333333333,27.47,26.7322580645161,29.1032258064516,24.9161290322581,15,0,13,34.5384615384615,27.1538461538462,9.38461538461539,0.03335,pre_covid
2016-07,29.7806451612903,32.6290322580645,27.3548387096774,29.37,32.3733333333333,27.47,13,0,15,36.2307692307692,31.0769230769231,13.3076923076923,0.03746,pre_covid
2016-08,28.3677419354839,31.0483870967742,26.5064516129032,29.7806451612903,32.6290322580645,27.3548387096774,4,0,9,44.6153846153846,41.8461538461538,17.5,0.05845,pre_covid
2016-09,27.94,30.4266666666667,26.1066666666667,28.3677419354839,31.0483870967742,26.5064516129032,2,0,1,45.3846153846154,51.3846153846154,21.8461538461538,0.121625,pre_covid
2016-10,26.7548387096774,29.1,25,27.94,30.4266666666667,26.1066666666667,0,0,0,35.4615384615385,42.0769230769231,19.25,0.0977,pre_covid
2016-11,22.2633333333333,24.5166666666667,20.34,26.7548387096774,29.1,25,0,0,0,42.7692307692308,46,23.0769230769231,0.06935,pre_covid
2016-12,19.6290322580645,21.7548387096774,17.6516129032258,22.2633333333333,24.5166666666667,20.34,0,1,0,52.6153846153846,54.4615384615385,35.25,0.052625,pre_covid
2017-01,18.558064516129,20.5870967741935,17.0451612903226,19.6290322580645,21.7548387096774,17.6516129032258,0,0,0,45.2307692307692,51.3076923076923,30,0.0792,pre_covid
2017-02,16.9678571428571,19.9964285714286,14.8714285714286,18.558064516129,20.5870967741935,17.0451612903226,0,6,0,43.2307692307692,56.0769230769231,26.7692307692308,0.090325,pre_covid
2017-03,19.2677419354839,21.7387096774194,17.3451612903226,16.9678571428571,19.9964285714286,14.8714285714286,0,0,0,44.8461538461538,63.3846153846154,28,0.070625,pre_covid
2017-04,23.32,26.21,21.2166666666667,19.2677419354839,21.7387096774194,17.3451612903226,0,0,0,42.5384615384615,51.0769230769231,22.4615384615385,0.08042,pre_covid
2017-05,25.9548387096774,28.5870967741935,24.2387096774194,23.32,26.21,21.2166666666667,0,0,0,45,61.8461538461538,21.1538461538462,0.137225,pre_covid
2017-06,28.83,31.2533333333333,27.1766666666667,25.9548387096774,28.5870967741935,24.2387096774194,13,0,6,30.3076923076923,23.9230769230769,9.30769230769231,0.207525,pre_covid
2017-07,28.6967741935484,31.4064516129032,26.8903225806452,28.83,31.2533333333333,27.1766666666667,6,0,7,28.4615384615385,28.8461538461538,10.6923076923077,0.35112,pre_covid
2017-08,29.3483870967742,32.0741935483871,27.2935483870968,28.6967741935484,31.4064516129032,26.8903225806452,14,0,10,35.4615384615385,31.2307692307692,12.6153846153846,0.110125,pre_covid
2017-09,29.0433333333333,31.86,27.2,29.3483870967742,32.0741935483871,27.2935483870968,4,0,5,42.6153846153846,51,19.5384615384615,0.028875,pre_covid
2017-10,26.2935483870968,29.041935483871,24.3548387096774,29.0433333333333,31.86,27.2,4,0,1,35,70.4615384615385,22.4615384615385,0.02026,pre_covid
2017-11,22.1866666666667,24.3566666666667,20.4566666666667,26.2935483870968,29.041935483871,24.3548387096774,0,0,0,41.9230769230769,56.6153846153846,25.3846153846154,0.0217,pre_covid
2017-12,17.8548387096774,20.1258064516129,15.9516129032258,22.1866666666667,24.3566666666667,20.4566666666667,0,3,0,47.5384615384615,66.1538461538462,33.7692307692308,0.07028,pre_covid
2018-01,16.0612903225806,18.4935483870968,14.1193548387097,17.8548387096774,20.1258064516129,15.9516129032258,0,9,0,45.4615384615385,52.2307692307692,26.6923076923077,0.2209,pre_covid
2018-02,16.0428571428571,18.7392857142857,13.875,16.0612903225806,18.4935483870968,14.1193548387097,0,9,0,48.7692307692308,50,28.6923076923077,0.2406,pre_covid
2018-03,20.841935483871,24.3612903225806,18.6387096774194,16.0428571428571,18.7392857142857,13.875,0,1,0,42.8461538461538,62.0769230769231,22.4615384615385,0.11015,pre_covid
2018-04,23.6466666666667,26.9166666666667,21.67,20.841935483871,24.3612903225806,18.6387096774194,0,0,0,37.4615384615385,55.6153846153846,22.6923076923077,0.02762,pre_covid
2018-05,28.3290322580645,31.7258064516129,26.1193548387097,23.6466666666667,26.9166666666667,21.67,6,0,16,32.2307692307692,41.8461538461538,13.3076923076923,0.0136,pre_covid
2018-06,28.6233333333333,31.32,26.7633333333333,28.3290322580645,31.7258064516129,26.1193548387097,6,0,4,32.1538461538462,50.1538461538462,12.9230769230769,0.01165,pre_covid
2018-07,29.1161290322581,31.7774193548387,27,28.6233333333333,31.32,26.7633333333333,7,0,8,25.5384615384615,31.1538461538462,9.61538461538461,0.02274,pre_covid
2018-08,28.5806451612903,31.0290322580645,26.6741935483871,29.1161290322581,31.7774193548387,27,5,0,5,39.6923076923077,46.7692307692308,15.8461538461538,0.023575,pre_covid
2018-09,28.0066666666667,30.9966666666667,25.9866666666667,28.5806451612903,31.0290322580645,26.6741935483871,2,0,3,40.9166666666667,48.8333333333333,18.9166666666667,0.03182,pre_covid
2018-10,25.341935483871,27.9838709677419,23.4258064516129,28.0066666666667,30.9966666666667,25.9866666666667,0,0,0,42,85.7692307692308,24.5384615384615,0.022175,pre_covid
2018-11,22.8966666666667,24.7966666666667,21.4366666666667,25.341935483871,27.9838709677419,23.4258064516129,0,0,0,38.3846153846154,60.8461538461538,22,0.04025,pre_covid
2018-12,19.2225806451613,21.258064516129,17.5903225806452,22.8966666666667,24.7966666666667,21.4366666666667,0,2,0,42.6923076923077,37.3076923076923,21.4615384615385,0.11498,pre_covid
2019-01,18.1354838709677,20.3516129032258,16.3967741935484,19.2225806451613,21.258064516129,17.5903225806452,0,1,0,55.3846153846154,47.0769230769231,30.7692307692308,0.253175,pre_covid
2019-02,20.1214285714286,22.6357142857143,18.4214285714286,18.1354838709677,20.3516129032258,16.3967741935484,0,0,0,35.6153846153846,46.3076923076923,17.3846153846154,0.14915,pre_covid
2019-03,21.0322580645161,23.3,19.3548387096774,20.1214285714286,22.6357142857143,18.4214285714286,0,0,0,38.8461538461538,56.3846153846154,18.1538461538462,0.09616,pre_covid
2019-04,24.6966666666667,27.24,22.9266666666667,21.0322580645161,23.3,19.3548387096774,0,0,0,36.2307692307692,55.3846153846154,16.6153846153846,0.053075,pre_covid
2019-05,25.3290322580645,27.2258064516129,23.658064516129,24.6966666666667,27.24,22.9266666666667,3,0,0,32.4615384615385,62.4615384615385,14.6923076923077,0.06245,pre_covid
2019-06,29,31.5066666666667,26.9833333333333,25.3290322580645,27.2258064516129,23.658064516129,11,0,5,31.6923076923077,36.5384615384615,9.15384615384615,0.0793,pre_covid
2019-07,29.5064516129032,32.0516129032258,27.7,29,31.5066666666667,26.9833333333333,15,0,8,29.3846153846154,36.6153846153846,12.5384615384615,0.073625,pre_covid
2019-08,29.0354838709677,31.858064516129,26.9032258064516,29.5064516129032,32.0516129032258,27.7,9,0,11,33.7692307692308,50.8461538461538,14.6923076923077,0.034175,pre_covid
2019-09,28.7433333333333,31.7533333333333,26.6266666666667,29.0354838709677,31.858064516129,26.9032258064516,7,0,8,36.9230769230769,83.7692307692308,20.0769230769231,0.02676,pre_covid
2019-10,26.5967741935484,29.4838709677419,24.5967741935484,28.7433333333333,31.7533333333333,26.6266666666667,1,0,1,38.1538461538462,93.1538461538462,25.7692307692308,0.015625,pre_covid
2019-11,22.9733333333333,26.0966666666667,20.9733333333333,26.5967741935484,29.4838709677419,24.5967741935484,0,0,0,43.2307692307692,86.4615384615385,25.6923076923077,0.015875,pre_covid
2019-12,19.0709677419355,21.8935483870968,17.0032258064516,22.9733333333333,26.0966666666667,20.9733333333333,0,0,0,49.3846153846154,57.4615384615385,24.5384615384615,0.0539,pre_covid
2020-01,18.5612903225806,21.1903225806452,16.8387096774194,19.0709677419355,21.8935483870968,17.0032258064516,0,5,0,37.6923076923077,57.6153846153846,20,0.171925,pre_covid
2020-02,18.4689655172414,21.448275862069,16.5586206896552,18.5612903225806,21.1903225806452,16.8387096774194,0,3,0,32.6153846153846,54.6153846153846,16.1538461538462,0.02075,early_covid
2020-03,21.2967741935484,23.7870967741936,19.7129032258064,18.4689655172414,21.448275862069,16.5586206896552,0,0,0,33.8461538461538,56.7692307692308,17.1538461538462,0.00266,early_covid
2020-04,22.02,25.1366666666667,19.9733333333333,21.2967741935484,23.7870967741936,19.7129032258064,0,0,0,37.0769230769231,66.0769230769231,17.3076923076923,0.000125,early_covid
2020-05,27.7290322580645,30.4387096774194,25.9129032258065,22.02,25.1366666666667,19.9733333333333,1,0,1,32.7692307692308,41.8461538461538,10.9230769230769,1e-04,early_covid
2020-06,29.65,32.2533333333333,27.8,27.7290322580645,30.4387096774194,25.9129032258065,18,0,6,22.8461538461538,25.8461538461538,5.30769230769231,0,early_covid
2020-07,30.2354838709677,33.3064516129032,28.258064516129,29.65,32.2533333333333,27.8,21,0,20,22.0666666666667,26.5333333333333,5.33333333333333,0,early_covid
2020-08,29.0193548387097,32.158064516129,26.8838709677419,30.2354838709677,33.3064516129032,28.258064516129,6,0,16,27,37.1333333333333,9.46666666666667,0,early_covid
2020-09,28.4133333333333,31.1966666666667,26.59,29.0193548387097,32.158064516129,26.8838709677419,4,0,4,34.6,53.9333333333333,12.7333333333333,0.000175,early_covid
2020-10,25.5935483870968,28.5032258064516,23.7161290322581,28.4133333333333,31.1966666666667,26.59,0,0,0,30,80.8666666666667,18.4666666666667,0.0011,early_covid
2020-11,23.51,26.38,21.6633333333333,25.5935483870968,28.5032258064516,23.7161290322581,0,0,0,37.8,74.5333333333333,20.4,0.00198,early_covid
2020-12,18.1096774193548,20.7483870967742,15.8870967741935,23.51,26.38,21.6633333333333,0,3,0,43.6666666666667,50.2666666666667,24.8666666666667,0.002275,early_covid
2021-01,16.2096774193548,19.3161290322581,13.841935483871,18.1096774193548,20.7483870967742,15.8870967741935,0,11,0,50.9333333333333,62.8666666666667,25.8666666666667,0.00038,early_covid
2021-02,19.7535714285714,23.4571428571429,17.4857142857143,16.2096774193548,19.3161290322581,13.841935483871,0,0,0,40,62.6,17.6666666666667,1e-04,early_covid
