SEX,AGE,CCYY,H,obs_value,sd_value
F,45-49,1964,1,90.6000000000,
F,5-9,1964,1,243.0000000000,
F,50-54,1964,1,77.3000000000,
F,55-59,1964,1,61.1000000000,
F,60-64,1964,1,48.2000000000,
F,65-69,1964,1,36.5000000000,
F,70-74,1964,1,23.6000000000,
F,75-79,1964,1,13.6000000000,
F,80-84,1964,1,5.8000000000,
F,85_and_over,1964,1,3.5000000000,
M,,1964,1,1769.2000000000,
M,0-4,1964,1,275.3000000000,
M,10-14,1964,1,202.8000000000,
M,15-19,1964,1,137.4000000000,
M,20-24,1964,1,106.1000000000,
M,25-29,1964,1,120.7000000000,
M,30-34,1964,1,136.4000000000,
M,35-39,1964,1,128.8000000000,
M,40-44,1964,1,113.8000000000,
M,45-49,1964,1,96.5000000000,
M,5-9,1964,1,255.4000000000,
M,50-54,1964,1,75.6000000000,
M,55-59,1964,1,50.1000000000,
M,60-64,1964,1,31.0000000000,
M,65-69,1964,1,19.7000000000,
M,70-74,1964,1,10.5000000000,
M,75-79,1964,1,5.6000000000,
M,80-84,1964,1,2.1000000000,
M,85_and_over,1964,1,1.4000000000,
,,1964,2,3545.1000000000,
F,,1964,2,0.0000000000,9
M,,1964,2,0.0000000000,9
,,1965,1,3597.9000000000,
,0-4,1965,1,533.3000000000,
,10-14,1965,1,418.6000000000,
,15-19,1965,1,299.4000000000,
,20-24,1965,1,196.9000000000,
,25-29,1965,1,215.6000000000,
,30-34,1965,1,256.8000000000,
,35-39,1965,1,254.8000000000,
,40-44,1965,1,222.6000000000,
,45-49,1965,1,194.0000000000,
,5-9,1965,1,516.2000000000,
,50-54,1965,1,157.8000000000,
,55-59,1965,1,119.7000000000,
,60-64,1965,1,81.3000000000,
,65-69,1965,1,60.3000000000,
,70-74,1965,1,35.8000000000,
,75-79,1965,1,21.0000000000,
,80-84,1965,1,8.4000000000,
,85_and_over,1965,1,5.4000000000,
F,,1965,1,1779.9000000000,
F,0-4,1965,1,261.3000000000,
F,10-14,1965,1,205.4000000000,
F,15-19,1965,1,147.0000000000,
F,20-24,1965,1,89.3000000000,
F,25-29,1965,1,98.7000000000,
F,30-34,1965,1,122.0000000000,
F,35-39,1965,1,122.4000000000,
F,40-44,1965,1,106.9000000000,
F,45-49,1965,1,93.4000000000,
F,5-9,1965,1,251.9000000000,
F,50-54,1965,1,79.3000000000,
F,55-59,1965,1,64.3000000000,
F,60-64,1965,1,49.3000000000,
F,65-69,1965,1,38.7000000000,
F,70-74,1965,1,24.9000000000,
F,75-79,1965,1,14.9000000000,
F,80-84,1965,1,6.3000000000,
F,85_and_over,1965,1,3.9000000000,
M,,1965,1,1818.0000000000,
M,0-4,1965,1,272.0000000000,
M,10-14,1965,1,213.2000000000,
M,15-19,1965,1,152.4000000000,
M,20-24,1965,1,107.6000000000,
M,25-29,1965,1,116.9000000000,
M,30-34,1965,1,134.8000000000,
M,35-39,1965,1,132.4000000000,
M,40-44,1965,1,115.7000000000,
M,45-49,1965,1,100.6000000000,
M,5-9,1965,1,264.3000000000,
M,50-54,1965,1,78.5000000000,
M,55-59,1965,1,55.4000000000,
M,60-64,1965,1,32.0000000000,
M,65-69,1965,1,21.6000000000,
M,70-74,1965,1,10.9000000000,
M,75-79,1965,1,6.1000000000,
M,80-84,1965,1,2.1000000000,
M,85_and_over,1965,1,1.5000000000,
,,1965,2,3625.4000000000,
F,,1965,2,0.0000000000,9
M,,1965,2,0.0000000000,9
,,1966,1,3629.9000000000,
,0-4,1966,1,516.7000000000,
,10-14,1966,1,437.8000000000,
,15-19,1966,1,327.1000000000,
,20-24,1966,1,193.2000000000,
,25-29,1966,1,199.5000000000,
,30-34,1966,1,244.7000000000,
,35-39,1966,1,254.0000000000,
,40-44,1966,1,222.2000000000,
,45-49,1966,1,196.8000000000,
,5-9,1966,1,530.2000000000,
,50-54,1966,1,160.1000000000,
,55-59,1966,1,126.1000000000,
,60-64,1966,1,83.2000000000,
,65-69,1966,1,63.4000000000,
,70-74,1966,1,37.5000000000,
,75-79,1966,1,22.5000000000,
,80-84,1966,1,9.2000000000,
,85_and_over,1966,1,5.7000000000,
F,,1966,1,1811.1000000000,
F,0-4,1966,1,252.8000000000,
F,10-14,1966,1,214.1000000000,
F,15-19,1966,1,162.1000000000,
F,20-24,1966,1,92.2000000000,
F,25-29,1966,1,92.8000000000,
F,30-34,1966,1,117.8000000000,
F,35-39,1966,1,123.6000000000,
F,40-44,1966,1,108.7000000000,
F,45-49,1966,1,95.6000000000,
F,5-9,1966,1,259.0000000000,
F,50-54,1966,1,80.9000000000,
F,55-59,1966,1,67.2000000000,
F,60-64,1966,1,50.5000000000,
F,65-69,1966,1,40.5000000000,
F,70-74,1966,1,26.2000000000,
F,75-79,1966,1,16.0000000000,
F,80-84,1966,1,6.9000000000,
F,85_and_over,1966,1,4.2000000000,
M,,1966,1,1818.8000000000,
M,0-4,1966,1,263.9000000000,
M,10-14,1966,1,223.7000000000,
M,15-19,1966,1,165.0000000000,
M,20-24,1966,1,101.0000000000,
M,25-29,1966,1,106.7000000000,
M,30-34,1966,1,126.9000000000,
M,35-39,1966,1,130.4000000000,
M,40-44,1966,1,113.5000000000,
M,45-49,1966,1,101.2000000000,
M,5-9,1966,1,271.2000000000,
M,50-54,1966,1,79.2000000000,
M,55-59,1966,1,58.9000000000,
M,60-64,1966,1,32.7000000000,
M,65-69,1966,1,22.9000000000,
M,70-74,1966,1,11.3000000000,
M,75-79,1966,1,6.5000000000,
M,80-84,1966,1,2.3000000000,
M,85_and_over,1966,1,1.5000000000,
,,1966,2,3679.4000000000,
F,,1966,2,0.0000000000,9
M,,1966,2,0.0000000000,9
,,1967,1,3722.8000000000,
,0-4,1967,1,491.8000000000,
,10-14,1967,1,458.1000000000,
,15-19,1967,1,356.0000000000,
,20-24,1967,1,214.1000000000,
,25-29,1967,1,196.6000000000,
,30-34,1967,1,239.5000000000,
,35-39,1967,1,258.3000000000,
,40-44,1967,1,229.5000000000,
,45-49,1967,1,203.8000000000,
,5-9,1967,1,539.5000000000,
,50-54,1967,1,166.9000000000,
,55-59,1967,1,133.6000000000,
,60-64,1967,1,88.4000000000,
,65-69,1967,1,66.6000000000,
,70-74,1967,1,40.1000000000,
,75-79,1967,1,23.8000000000,
,80-84,1967,1,10.3000000000,
,85_and_over,1967,1,5.9000000000,
F,,1967,1,1849.4000000000,
F,0-4,1967,1,240.1000000000,
F,10-14,1967,1,223.5000000000,
F,15-19,1967,1,176.1000000000,
F,20-24,1967,1,101.7000000000,
F,25-29,1967,1,90.0000000000,
F,30-34,1967,1,113.8000000000,
F,35-39,1967,1,124.8000000000,
F,40-44,1967,1,111.8000000000,
F,45-49,1967,1,98.4000000000,
F,5-9,1967,1,263.9000000000,
F,50-54,1967,1,83.4000000000,
F,55-59,1967,1,70.1000000000,
F,60-64,1967,1,52.6000000000,
F,65-69,1967,1,42.2000000000,
F,70-74,1967,1,27.9000000000,
F,75-79,1967,1,17.0000000000,
F,80-84,1967,1,7.7000000000,
F,85_and_over,1967,1,4.4000000000,
M,,1967,1,1873.4000000000,
M,0-4,1967,1,251.7000000000,
M,10-14,1967,1,234.6000000000,
M,15-19,1967,1,179.9000000000,
M,20-24,1967,1,112.4000000000,
M,25-29,1967,1,106.6000000000,
M,30-34,1967,1,125.7000000000,
M,35-39,1967,1,133.5000000000,
M,40-44,1967,1,117.7000000000,
M,45-49,1967,1,105.4000000000,
M,5-9,1967,1,275.6000000000,
M,50-54,1967,1,83.5000000000,
M,55-59,1967,1,63.5000000000,
M,60-64,1967,1,35.8000000000,
M,65-69,1967,1,24.4000000000,
M,70-74,1967,1,12.2000000000,
M,75-79,1967,1,6.8000000000,
M,80-84,1967,1,2.6000000000,
M,85_and_over,1967,1,1.5000000000,
,,1967,2,3760.6000000000,
F,,1967,2,0.0000000000,9
M,,1967,2,0.0000000000,9
,,1968,1,3802.7000000000,
,0-4,1968,1,466.3000000000,
,10-14,1968,1,478.8000000000,
,15-19,1968,1,380.9000000000,
,20-24,1968,1,239.4000000000,
,25-29,1968,1,194.2000000000,
,30-34,1968,1,231.7000000000,
,35-39,1968,1,259.1000000000,
,40-44,1968,1,236.6000000000,
,45-49,1968,1,209.3000000000,
,5-9,1968,1,543.5000000000,
,50-54,1968,1,173.6000000000,
,55-59,1968,1,139.7000000000,
,60-64,1968,1,94.9000000000,
,65-69,1968,1,68.8000000000,
,70-74,1968,1,43.4000000000,
,75-79,1968,1,24.9000000000,
,80-84,1968,1,11.4000000000,
,85_and_over,1968,1,6.2000000000,
F,,1968,1,1884.9000000000,
F,0-4,1968,1,227.1000000000,
F,10-14,1968,1,233.4000000000,
F,15-19,1968,1,187.8000000000,
F,20-24,1968,1,114.5000000000,
F,25-29,1968,1,88.2000000000,
F,30-34,1968,1,109.0000000000,
F,35-39,1968,1,124.7000000000,
