SEX,AGE,H,CCYY,obs_value,sd_value
M,81,1,1961,0.5000000000,
M,82,1,1961,0.4000000000,
M,83,1,1961,0.4000000000,
M,84,1,1961,0.4000000000,
M,85_and_over,1,1961,0.8000000000,
M,9,1,1961,40.2000000000,
M,zero,1,1961,52.4000000000,
,,2,1961,3195.3000000000,
F,,2,1961,0.0000000000,9
M,,2,1961,0.0000000000,9
,,1,1962,3305.2000000000,
,1,1,1962,111.0000000000,
,10,1,1962,79.9000000000,
,11,1,1962,76.4000000000,
,12,1,1962,72.1000000000,
,13,1,1962,66.3000000000,
,14,1,1962,58.8000000000,
,15,1,1962,52.0000000000,
,16,1,1962,45.5000000000,
,17,1,1962,40.4000000000,
,18,1,1962,37.6000000000,
,19,1,1962,37.0000000000,
,2,1,1962,109.6000000000,
,20,1,1962,37.5000000000,
,21,1,1962,37.9000000000,
,22,1,1962,38.7000000000,
,23,1,1962,40.5000000000,
,24,1,1962,43.1000000000,
,25,1,1962,44.9000000000,
,26,1,1962,47.2000000000,
,27,1,1962,49.2000000000,
,28,1,1962,50.7000000000,
,29,1,1962,51.8000000000,
,3,1,1962,107.3000000000,
,30,1,1962,52.7000000000,
,31,1,1962,53.3000000000,
,32,1,1962,53.5000000000,
,33,1,1962,53.0000000000,
,34,1,1962,51.6000000000,
,35,1,1962,50.2000000000,
,36,1,1962,48.4000000000,
,37,1,1962,46.8000000000,
,38,1,1962,45.7000000000,
,39,1,1962,45.0000000000,
,4,1,1962,104.1000000000,
,40,1,1962,44.3000000000,
,41,1,1962,43.3000000000,
,42,1,1962,42.4000000000,
,43,1,1962,41.0000000000,
,44,1,1962,39.5000000000,
,45,1,1962,36.0000000000,
,46,1,1962,34.3000000000,
,47,1,1962,32.7000000000,
,48,1,1962,31.4000000000,
,49,1,1962,30.3000000000,
,5,1,1962,100.2000000000,
,50,1,1962,31.3000000000,
,51,1,1962,30.1000000000,
,52,1,1962,28.7000000000,
,53,1,1962,27.0000000000,
,54,1,1962,24.9000000000,
,55,1,1962,22.8000000000,
,56,1,1962,20.5000000000,
,57,1,1962,18.8000000000,
,58,1,1962,17.8000000000,
,59,1,1962,17.1000000000,
,6,1,1962,105.6000000000,
,60,1,1962,16.5000000000,
,61,1,1962,16.0000000000,
,62,1,1962,15.3000000000,
,63,1,1962,14.2000000000,
,64,1,1962,12.6000000000,
,65,1,1962,11.8000000000,
,66,1,1962,10.5000000000,
,67,1,1962,9.6000000000,
,68,1,1962,8.7000000000,
,69,1,1962,8.0000000000,
,7,1,1962,91.0000000000,
,70,1,1962,7.5000000000,
,71,1,1962,6.9000000000,
,72,1,1962,6.4000000000,
,73,1,1962,5.6000000000,
,74,1,1962,5.0000000000,
,75,1,1962,4.3000000000,
,76,1,1962,3.7000000000,
,77,1,1962,3.1000000000,
,78,1,1962,2.5000000000,
,79,1,1962,2.2000000000,
,8,1,1962,86.7000000000,
,80,1,1962,1.9000000000,
,81,1,1962,1.6000000000,
,82,1,1962,1.5000000000,
,83,1,1962,1.3000000000,
,84,1,1962,1.3000000000,
,85_and_over,1,1962,3.7000000000,
,9,1,1962,83.2000000000,
,zero,1,1962,102.9000000000,
F,,1,1962,1638.6000000000,
F,1,1,1962,54.4000000000,
F,10,1,1962,39.4000000000,
F,11,1,1962,37.9000000000,
F,12,1,1962,35.9000000000,
F,13,1,1962,33.0000000000,
F,14,1,1962,29.3000000000,
F,15,1,1962,25.7000000000,
F,16,1,1962,22.1000000000,
F,17,1,1962,19.2000000000,
F,18,1,1962,17.5000000000,
F,19,1,1962,17.2000000000,
F,2,1,1962,53.6000000000,
F,20,1,1962,17.2000000000,
F,21,1,1962,17.2000000000,
F,22,1,1962,17.6000000000,
F,23,1,1962,18.5000000000,
F,24,1,1962,19.6000000000,
F,25,1,1962,20.7000000000,
F,26,1,1962,22.0000000000,
F,27,1,1962,23.2000000000,
F,28,1,1962,24.0000000000,
F,29,1,1962,24.5000000000,
F,3,1,1962,52.4000000000,
F,30,1,1962,25.1000000000,
F,31,1,1962,25.4000000000,
F,32,1,1962,25.5000000000,
F,33,1,1962,25.3000000000,
F,34,1,1962,24.7000000000,
F,35,1,1962,24.1000000000,
F,36,1,1962,23.2000000000,
F,37,1,1962,22.5000000000,
F,38,1,1962,22.0000000000,
F,39,1,1962,21.5000000000,
F,4,1,1962,50.8000000000,
F,40,1,1962,21.1000000000,
F,41,1,1962,20.5000000000,
F,42,1,1962,20.1000000000,
F,43,1,1962,19.4000000000,
F,44,1,1962,18.8000000000,
F,45,1,1962,18.3000000000,
F,46,1,1962,17.6000000000,
F,47,1,1962,17.0000000000,
F,48,1,1962,16.5000000000,
F,49,1,1962,16.1000000000,
F,5,1,1962,48.8000000000,
F,50,1,1962,15.7000000000,
F,51,1,1962,15.2000000000,
F,52,1,1962,14.6000000000,
F,53,1,1962,14.0000000000,
F,54,1,1962,13.1000000000,
F,55,1,1962,12.4000000000,
F,56,1,1962,11.5000000000,
F,57,1,1962,10.9000000000,
F,58,1,1962,10.5000000000,
F,59,1,1962,10.2000000000,
F,6,1,1962,46.6000000000,
F,60,1,1962,9.9000000000,
F,61,1,1962,9.6000000000,
F,62,1,1962,9.3000000000,
F,63,1,1962,8.7000000000,
F,64,1,1962,8.0000000000,
F,65,1,1962,7.6000000000,
F,66,1,1962,6.9000000000,
F,67,1,1962,6.4000000000,
F,68,1,1962,5.9000000000,
F,69,1,1962,5.4000000000,
F,7,1,1962,44.3000000000,
F,70,1,1962,5.1000000000,
F,71,1,1962,4.7000000000,
F,72,1,1962,4.3000000000,
F,73,1,1962,3.8000000000,
F,74,1,1962,3.4000000000,
F,75,1,1962,3.0000000000,
F,76,1,1962,2.6000000000,
F,77,1,1962,2.2000000000,
F,78,1,1962,1.8000000000,
F,79,1,1962,1.6000000000,
F,8,1,1962,42.3000000000,
F,80,1,1962,1.4000000000,
F,81,1,1962,1.2000000000,
F,82,1,1962,1.1000000000,
F,83,1,1962,0.9000000000,
F,84,1,1962,0.9000000000,
F,85_and_over,1,1962,2.6000000000,
F,9,1,1962,40.8000000000,
F,zero,1,1962,51.8000000000,
M,,1,1962,1666.6000000000,
M,1,1,1962,56.6000000000,
M,10,1,1962,40.5000000000,
M,11,1,1962,38.5000000000,
M,12,1,1962,36.2000000000,
M,13,1,1962,33.3000000000,
M,14,1,1962,29.5000000000,
M,15,1,1962,26.3000000000,
M,16,1,1962,23.4000000000,
M,17,1,1962,21.2000000000,
M,18,1,1962,20.1000000000,
M,19,1,1962,19.8000000000,
M,2,1,1962,56.0000000000,
M,20,1,1962,20.3000000000,
M,21,1,1962,20.7000000000,
M,22,1,1962,21.1000000000,
M,23,1,1962,22.0000000000,
M,24,1,1962,23.5000000000,
M,25,1,1962,24.2000000000,
M,26,1,1962,25.2000000000,
M,27,1,1962,26.0000000000,
M,28,1,1962,26.7000000000,
M,29,1,1962,27.3000000000,
M,3,1,1962,54.9000000000,
M,30,1,1962,27.6000000000,
M,31,1,1962,27.9000000000,
M,32,1,1962,28.0000000000,
M,33,1,1962,27.7000000000,
M,34,1,1962,26.9000000000,
M,35,1,1962,26.1000000000,
M,36,1,1962,25.2000000000,
M,37,1,1962,24.3000000000,
M,38,1,1962,23.7000000000,
M,39,1,1962,23.5000000000,
M,4,1,1962,53.3000000000,
M,40,1,1962,23.2000000000,
M,41,1,1962,22.8000000000,
M,42,1,1962,22.3000000000,
M,43,1,1962,21.6000000000,
M,44,1,1962,20.7000000000,
M,45,1,1962,17.7000000000,
M,46,1,1962,16.7000000000,
M,47,1,1962,15.7000000000,
M,48,1,1962,14.9000000000,
M,49,1,1962,14.2000000000,
M,5,1,1962,51.4000000000,
M,50,1,1962,15.6000000000,
M,51,1,1962,14.9000000000,
M,52,1,1962,14.1000000000,
M,53,1,1962,13.0000000000,
M,54,1,1962,11.8000000000,
M,55,1,1962,10.4000000000,
M,56,1,1962,9.0000000000,
M,57,1,1962,7.9000000000,
M,58,1,1962,7.3000000000,
M,59,1,1962,6.9000000000,
M,6,1,1962,59.0000000000,
M,60,1,1962,6.6000000000,
M,61,1,1962,6.4000000000,
M,62,1,1962,6.0000000000,
M,63,1,1962,5.5000000000,
M,64,1,1962,4.6000000000,
M,65,1,1962,4.2000000000,
M,66,1,1962,3.6000000000,
M,67,1,1962,3.2000000000,
M,68,1,1962,2.8000000000,
M,69,1,1962,2.6000000000,
M,7,1,1962,46.7000000000,
M,70,1,1962,2.4000000000,
M,71,1,1962,2.2000000000,
