"month_id","wang_vhd5_onset_count","wang_vhd5_overlap_count","wang_vhd5_event_days","wang_vhd5_affected_1_5_days","wang_vhd5_affected_6_21_days","wang_hn5_onset_count","wang_hn5_overlap_count","wang_hn5_event_days","wang_hn5_affected_1_5_days","wang_hn5_affected_6_21_days","wang_2d3n_onset_count","wang_2d3n_overlap_count","wang_2d3n_event_days","wang_2d3n_affected_1_5_days","wang_2d3n_affected_6_21_days","li_hw_onset_count","li_hw_overlap_count","li_hw_event_days","li_hw_affected_1_5_days","li_hw_affected_6_21_days","data_status","result_class"
"2017-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2017-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2017-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-05",1,1,15,0,0,0,0,0,0,0,1,1,3,0,0,1,1,18,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-06",0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-07",1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-08",1,1,5,0,0,0,0,0,0,0,1,1,3,5,0,1,1,4,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2018-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-06",0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-07",0,0,0,0,0,2,2,12,0,0,2,2,7,8,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-08",0,0,0,0,0,1,1,5,0,0,1,1,3,7,0,2,2,6,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-09",1,1,7,0,0,1,1,7,0,0,1,1,7,5,0,1,1,5,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2019-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-06",0,0,0,0,0,1,1,12,0,0,1,1,3,0,0,1,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-07",2,2,15,0,0,2,3,17,0,0,2,3,11,14,0,1,1,8,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-08",2,2,10,0,0,1,1,2,0,0,1,1,1,1,0,3,3,8,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-09",0,0,0,0,0,0,1,4,0,0,0,1,4,5,0,0,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2020-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-05",1,1,5,0,0,1,1,6,0,0,2,2,9,7,0,2,2,16,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-06",0,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-07",2,2,13,0,0,1,2,14,0,0,3,3,15,10,0,2,2,10,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-08",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-09",1,1,7,0,0,0,0,0,0,0,1,1,4,5,0,1,1,7,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2021-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2022-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2022-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2022-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
