"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2015-08",2015,8,223,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-09",2015,9,199,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-10",2015,10,243,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-11",2015,11,209,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-12",2015,12,243,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-01",2016,1,257,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-02",2016,2,296,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-03",2016,3,286,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-04",2016,4,223,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-05",2016,5,226,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-06",2016,6,186,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-07",2016,7,195,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-08",2016,8,207,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-09",2016,9,204,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-10",2016,10,190,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-11",2016,11,231,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2016-12",2016,12,233,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2017-01",2017,1,222,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
