month_id,year,month,n_days,days_warmer_than_climatology,days_cooler_than_climatology,days_tmax_above_climatology,days_tmin_below_climatology,mean_relative_humidity,total_rainfall_mm,n_clim_years_min,climatology_rule,data_status
2017-11,2017,11,30,13,17,11,17,75.866667,31.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2017-12,2017,12,31,16,15,14,12,66.193548,0.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-01,2018,1,31,16,14,13,16,76.774194,62.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-02,2018,2,28,12,16,10,16,70.464286,4.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-03,2018,3,31,22,9,23,12,75.709677,22.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-04,2018,4,30,17,13,20,9,77.9,28.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-05,2018,5,31,25,6,25,7,76.741935,57.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-06,2018,6,30,10,18,13,18,80.266667,458.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-07,2018,7,31,16,15,15,18,81.16129,341.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-08,2018,8,31,12,19,11,19,83.774194,615.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-09,2018,9,30,10,19,12,21,78.2,383.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-10,2018,10,31,7,24,11,19,69.096774,104.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-11,2018,11,30,21,9,13,7,77.433333,73.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2018-12,2018,12,31,20,11,20,11,75.967742,11.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-01,2019,1,31,25,6,24,7,75.903226,4.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-02,2019,2,28,27,1,23,1,84.892857,68.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-03,2019,3,31,19,12,15,11,84.387097,186.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-04,2019,4,30,17,13,17,10,83.966667,185.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
