"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2015-09",2015,9,1079,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-10",2015,10,1172,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-11",2015,11,1237,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-12",2015,12,1315,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-01",2016,1,1387,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-02",2016,2,1240,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-03",2016,3,1338,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-04",2016,4,1253,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-05",2016,5,1199,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-06",2016,6,1124,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-07",2016,7,1142,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-08",2016,8,1262,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-09",2016,9,1124,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-10",2016,10,1112,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-11",2016,11,1143,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2016-12",2016,12,1186,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-01",2017,1,1204,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-02",2017,2,1154,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-03",2017,3,1294,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-04",2017,4,1058,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-05",2017,5,1184,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-06",2017,6,1179,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-07",2017,7,1175,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-08",2017,8,1170,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-09",2017,9,1166,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-10",2017,10,1088,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-11",2017,11,1182,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2017-12",2017,12,1108,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-01",2018,1,1245,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-02",2018,2,1124,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-03",2018,3,1116,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-04",2018,4,986,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-05",2018,5,1023,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-06",2018,6,1028,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-07",2018,7,976,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-08",2018,8,1032,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-09",2018,9,943,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-10",2018,10,1060,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-11",2018,11,1037,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2018-12",2018,12,1046,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-01",2019,1,1133,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-02",2019,2,924,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-03",2019,3,1126,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-04",2019,4,988,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-05",2019,5,1071,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-06",2019,6,990,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-07",2019,7,1022,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-08",2019,8,971,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-09",2019,9,977,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-10",2019,10,998,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-11",2019,11,1081,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2019-12",2019,12,1115,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
